date,chair,fk_grade,avg_sentence_length,total_words,cautious_count,definitive_count,cautious_ratio,jargon_count,jargon_freq,prepared_sentiment,qa_sentiment,tone_shift,sp500_same_day_return,sp500_same_day_abs,sp500_next_day_return,reversal,vix_close
2011-04-27,Bernanke,11.61,18.57,8681,78,92,0.848,28,3.225,0.1128,0.1386,-0.0258,0.5362,0.5362,0.489,0.0,15.35
2011-06-22,Bernanke,10.94,18.11,7306,87,49,1.776,7,0.958,0.0061,0.0906,-0.0845,-0.6438,0.6438,-0.2409,0.0,18.52
2011-11-02,Bernanke,11.5,17.87,7402,69,58,1.19,8,1.081,0.1036,0.1149,-0.0113,1.4988,1.4988,1.8494,0.0,32.74
2012-01-25,Bernanke,13.78,23.56,10066,112,87,1.287,23,2.285,0.1281,0.1956,-0.0675,0.8871,0.8871,-0.5919,1.0,18.31
2012-04-25,Bernanke,11.55,18.93,7644,96,57,1.684,28,3.663,0.0214,0.1152,-0.0938,1.3541,1.3541,0.6716,0.0,16.82
2012-06-20,Bernanke,10.87,17.61,7239,87,44,1.977,10,1.381,0.1038,0.1139,-0.0101,-0.1731,0.1731,-2.2074,0.0,17.24
2012-12-12,Bernanke,12.25,20.77,11611,125,119,1.05,39,3.359,0.1228,0.1234,-0.0006,0.0448,0.0448,-0.6321,1.0,15.95
2013-03-20,Bernanke,10.45,17.21,8906,113,63,1.794,28,3.144,0.18,0.0583,0.1217,0.6697,0.6697,-0.8282,1.0,12.67
2013-06-19,Bernanke,11.07,19.01,9414,113,73,1.548,32,3.399,0.2329,0.1384,0.0945,-1.3863,1.3863,-2.2424,0.0,16.64
2013-09-18,Bernanke,12.07,20.35,9014,100,80,1.25,43,4.77,0.1967,0.1605,0.0362,1.1596,1.1596,-0.2895,1.0,13.59
2013-12-18,Bernanke,11.04,18.76,10564,115,96,1.198,30,2.84,0.1286,0.1384,-0.0098,1.6385,1.6385,0.0332,0.0,13.8
2014-03-19,Yellen,12.45,21.87,7796,104,79,1.316,23,2.95,0.1635,0.0701,0.0934,-0.6132,0.6132,0.6408,1.0,15.12
2014-06-18,Yellen,12.49,20.59,7012,96,61,1.574,22,3.137,0.1932,0.1012,0.092,0.7335,0.7335,0.1011,0.0,10.61
2014-09-17,Yellen,12.59,21.31,7335,92,78,1.179,42,5.726,0.1647,0.0798,0.0849,0.1135,0.1135,0.4139,0.0,12.65
2014-12-17,Yellen,11.45,18.55,7555,92,87,1.057,41,5.427,0.178,0.133,0.045,1.982,1.982,2.0926,0.0,19.44
2015-03-18,Yellen,11.52,19.34,7121,82,78,1.051,30,4.213,0.1489,0.1082,0.0407,1.2862,1.2862,-0.4488,1.0,13.97
2015-06-17,Yellen,12.15,20.77,7569,118,90,1.311,39,5.153,0.1489,0.1447,0.0042,0.1449,0.1449,0.9355,0.0,14.5
2015-09-17,Yellen,12.02,19.77,7583,81,83,0.976,35,4.616,0.1193,0.1019,0.0174,-0.2571,0.2571,-1.5897,0.0,21.14
2015-12-16,Yellen,11.55,19.2,8725,111,103,1.078,60,6.877,0.1537,0.0931,0.0606,1.2983,1.2983,-1.5368,1.0,17.86
2016-03-16,Yellen,12.11,20.27,7551,105,63,1.667,34,4.503,0.1384,0.0943,0.0441,0.6444,0.6444,0.6754,0.0,14.99
2016-06-15,Yellen,12.2,21.1,7043,106,54,1.963,26,3.692,0.1317,0.0987,0.033,-0.2936,0.2936,0.5628,1.0,20.14
2016-09-21,Yellen,11.54,19.63,8196,97,64,1.516,31,3.782,0.1824,0.1069,0.0755,0.8645,0.8645,0.2874,0.0,13.3
2016-12-14,Yellen,11.44,18.52,6582,95,48,1.979,24,3.646,0.097,0.1006,-0.0036,-0.6644,0.6644,0.3665,1.0,13.19
2017-03-15,Yellen,10.24,17.05,6977,105,53,1.981,39,5.59,0.1002,0.1122,-0.012,0.6294,0.6294,-0.2651,1.0,11.63
2017-06-14,Yellen,11.72,19.72,7677,78,78,1.0,52,6.773,0.1313,0.0987,0.0326,-0.2386,0.2386,0.3432,1.0,10.64
2017-09-20,Yellen,12.9,23.02,8456,104,85,1.224,65,7.687,0.0925,0.072,0.0205,0.0558,0.0558,-0.2616,1.0,9.78
2017-12-13,Yellen,11.7,19.68,8942,119,62,1.919,36,4.026,0.1401,0.1251,0.015,-0.1777,0.1777,-0.5199,0.0,10.18
2018-03-21,Powell,9.48,15.92,7204,60,35,1.714,36,4.997,0.1236,0.073,0.0506,-0.1127,0.1127,-1.7712,0.0,17.86
2018-06-13,Powell,8.94,15.59,8947,75,68,1.103,43,4.806,0.1518,0.0757,0.0761,-0.4415,0.4415,-0.0259,0.0,12.94
2018-09-26,Powell,9.42,16.14,9786,107,51,2.098,36,3.679,0.2956,0.089,0.2066,-0.3774,0.3774,0.0807,1.0,12.89
